anno,dt_ince,comune,sup_tot_ha,geom
2017,2017-07-11,2017/CA/4543,0.1364,POINT(9.027222985667434 39.45567120311633)
2017,2017-05-28,2017/CA/3747,0.1725,POINT(9.00781480648569 39.37040491822402)
2017,2017-05-28,2017/CA/3748,1.8064,POINT(9.157170469335115 39.261749763328574)
2017,2017-07-11,2017/CA/4548,0.3260,POINT(9.07382846831781 39.388828426176275)
2017,2017-05-29,2017/CA/3751,0.1848,POINT(9.193513106028067 39.3985462715456)
2017,2017-05-29,2017/CA/3752,8.4381,POINT(8.73158905731711 39.62693753738943)
2017,2017-05-29,2017/CA/3753,1.5149,POINT(9.198274035511869 39.26122465750337)
2017,2017-05-29,2017/CA/3756,41.3946,POINT(8.8801042919128 39.40205962657513)
2017,2017-05-29,2017/CA/3759,3.6898,POINT(9.293784441499486 39.23146187274944)
2017,2017-05-29,2017/CA/3761,23.1848,POINT(9.023109966431857 39.38686912868264)
2017,2017-07-05,2017/CA/4567,0.5901,POINT(8.80681008006062 39.58176977945542)
2017,2017-05-29,2017/CA/3762,1.0104,POINT(8.713048623843342 39.58175292129181)
2017,2017-05-30,2017/CA/3766,0.1783,POINT(9.027530845959506 39.45650935871135)
2017,2017-05-30,2017/CA/3768,0.2403,POINT(9.296427002082117 39.23234274248734)
2017,2017-05-30,2017/CA/3769,4.7676,POINT(8.85640488595046 39.45806192819072)
2017,2017-05-30,2017/CA/3775,0.8264,POINT(8.995061564460313 39.647769821118224)
2017,2017-07-17,2017/CA/4696,1.8438,POINT(8.897728553313334 39.322961012986354)
2017,2017-05-30,2017/CA/3772,5.9452,POINT(9.100285007693437 39.26116986213656)
2017,2017-05-30,2017/CA/3773,0.8160,POINT(9.097935188634326 39.26227340899603)
2017,2017-05-24,2017/CA/3774,0.2238,POINT(9.547982125095652 39.44894377304625)
2017,2017-07-25,2017/CA/4831,0.7853,POINT(8.890032359912656 39.481264654546166)
2017,2017-05-30,2017/CA/3783,1.0432,POINT(8.698500314448987 39.62867053771331)
2017,2017-05-30,2017/CA/3784,1.7152,POINT(9.08345602795094 39.30412164889614)
2017,2017-05-30,2017/CA/3790,1.1558,POINT(8.89657086052257 39.56851617845031)
2017,2017-05-31,2017/CA/3793,14.9607,POINT(8.68540901350031 39.60020242323348)
2017,2017-05-31,2017/CA/3799,0.4763,POINT(9.155955743538467 39.25944603326222)
2017,2017-05-31,2017/CA/3795,0.2317,POINT(9.117258355085854 39.727779969145196)
2017,2017-05-31,2017/CA/3796,5.1097,POINT(9.018168313800698 39.64595032922853)
2017,2017-06-01,2017/CA/3812,0.1841,POINT(8.998488814134134 39.38743545277516)
2017,2017-06-01,2017/CA/3813,0.3905,POINT(8.79860745490438 39.616451399537226)
2017,2017-05-31,2017/CA/3797,10.6951,POINT(8.963009885127313 39.25509311630625)
2017,2017-06-07,2017/CA/3877,3.5073,POINT(8.977866756333897 39.646621389533166)
2017,2017-05-31,2017/CA/3804,5.2420,POINT(8.698072017811278 39.625719225552515)
2017,2017-06-01,2017/CA/3810,0.5517,POINT(8.637220887404316 39.53099052606188)
2017,2017-06-01,2017/CA/3811,0.6618,POINT(8.895545659060303 39.48069689963309)
2017,2017-06-01,2017/CA/3816,2.6818,POINT(8.95342716827113 39.327729398169225)
2017,2017-06-02,2017/CA/3823,3.0577,POINT(8.922234247350707 39.601976941646306)
2017,2017-06-02,2017/CA/3824,0.7054,POINT(8.914535400047404 39.46719756623951)
2017,2017-06-02,2017/CA/3825,2.0073,POINT(8.963768541116444 39.32654174074682)
2017,2017-06-02,2017/CA/3827,0.2816,POINT(8.934462020007256 39.22559441943515)
2017,2017-06-02,2017/CA/3830,0.5409,POINT(8.963704098731075 39.262847817992714)
2017,2017-06-02,2017/CA/3831,0.3596,POINT(8.947015759882584 39.34625333966686)
2017,2017-06-02,2017/CA/3835,0.7549,POINT(8.953387112218424 39.38260971218982)
