Municipality,Fire_Frequency,Total_Burned_Area_HA,Avg_Area_Per_Fire,Primary_Land_Type,Risk_Level,Forecast_Notes
M.O ZIU PULLONE,1,0.11,0.11,1081.51225628,LOW,High seasonal risk in Summer.
SETTE CHERCOS,1,33.43,33.43,240605.15933014,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
BURAMENE,1,9.33,9.33,93252,LOW,High seasonal risk in Summer.
R. DE OROLATU,1,74.40,74.40,743965.1982046,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
SU MUZZONE,1,383.57,383.57,3426743,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
SINDALAI,1,0.82,0.82,8213,LOW,High seasonal risk in Summer.
N.GHE S. BARBARA,1,0.10,0.10,5346612,LOW,High seasonal risk in Summer.
ADDE IDE,1,15.23,15.23,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
N.GHE URIGHE,1,1.50,1.50,14990,LOW,High seasonal risk in Summer.
SOS PIAGHESOS,1,17.26,17.26,142478,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
P.TE OINU,1,0.26,0.26,2590,LOW,High seasonal risk in Summer.
FUNT.NA COBERCADAS,1,0.14,0.14,0,LOW,High seasonal risk in Summer.
RIU BINNORI,1,2.42,2.42,24224.31021594,LOW,High seasonal risk in Summer.
PEDRALTARE,1,2.21,2.21,22116.24166,LOW,High seasonal risk in Summer.
F.TA S. LEONARDO,1,0.22,0.22,0,LOW,High seasonal risk in Summer.
CORTE LACANA,1,6.85,6.85,68474.12103936,LOW,High seasonal risk in Summer.
P.TE ZIERA,1,1.42,1.42,14193.84266674,LOW,High seasonal risk in Summer.
CRASTU ABILE,1,0.14,0.14,6030812.43198457,LOW,High seasonal risk in Summer.
CULUVONE,1,1.19,1.19,0,LOW,High seasonal risk in Summer.
MUNTESILE,1,2.86,2.86,28613.8,LOW,High seasonal risk in Summer.
TURRIDANA,1,3.05,3.05,30482,LOW,High seasonal risk in Summer.
R. DE FLUMINI DE IDE,1,5.67,5.67,56680.6,LOW,High seasonal risk in Summer.
MATTA FRAILE,1,0.97,0.97,0,LOW,High seasonal risk in Summer.
LODDAEDDU,1,0.23,0.23,0,LOW,High seasonal risk in Summer.
TUDERA,1,4.02,4.02,0,LOW,High seasonal risk in Summer.
SORG.TE BADDE PUTTU,1,0.33,0.33,3303.22,LOW,High seasonal risk in Summer.
CASTANNURI,1,0.17,0.17,1680.06,LOW,High seasonal risk in Summer.
SALDINU,1,5.00,5.00,49953.6,LOW,High seasonal risk in Summer.
SANTINA MANNA,1,0.97,0.97,9687.26,LOW,High seasonal risk in Summer.
CAMPU DE CHILIVANI,1,6.57,6.57,65681,LOW,High seasonal risk in Summer.
GABARU,1,5.04,5.04,50442.3,LOW,High seasonal risk in Summer.
BIUNISI,1,16.17,16.17,161653,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
PETTINADU,1,0.64,0.64,6361.96,LOW,High seasonal risk in Summer.
C.S. GIOVANNI,1,5.34,5.34,53429.9,LOW,High seasonal risk in Summer.
SA TERRA RUJA,1,0.52,0.52,0,LOW,High seasonal risk in Summer.
FUNT.NA CAPPAI,1,1.91,1.91,19068.8,LOW,High seasonal risk in Summer.
CAST.O DI BURGOS,1,0.90,0.90,0,LOW,High seasonal risk in Summer.
C. ARCA,1,1.82,1.82,18192.3,LOW,High seasonal risk in Summer.
M. BRANCA,1,4.24,4.24,42400.6,LOW,High seasonal risk in Summer.
M. TILEPERE,1,10.45,10.45,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
MURRUZZULU,1,0.83,0.83,8347.79,LOW,High seasonal risk in Summer.
PEDRA MINCINA,1,0.25,0.25,0,LOW,High seasonal risk in Summer.
SELITTU,1,0.19,0.19,1913.03,LOW,High seasonal risk in Summer.
RAMIGHES,1,0.27,0.27,0,LOW,High seasonal risk in Summer.
SA PEDRA LADA,1,0.21,0.21,0,LOW,High seasonal risk in Summer.
NODU S. FRANCESCO,1,1.44,1.44,0,LOW,High seasonal risk in Summer.
JANNA BASSA,1,0.23,0.23,0,LOW,High seasonal risk in Summer.
N.GHE TANCA NOA,1,3.16,3.16,31634.8,LOW,High seasonal risk in Summer.
GIUANNE PES,1,0.26,0.26,0,LOW,High seasonal risk in Summer.
SAS ATTAS,1,3.58,3.58,0,LOW,High seasonal risk in Summer.
SETTE CHELCOS,1,1.36,1.36,0,LOW,High seasonal risk in Summer.
BABBANTONI,1,0.84,0.84,0,LOW,High seasonal risk in Summer.
TOMODDOI,1,0.32,0.32,0,LOW,High seasonal risk in Summer.
S.S. SETT.LE SARDA,1,0.22,0.22,0,LOW,High seasonal risk in Summer.
S. LARENTU,1,1.36,1.36,0,LOW,High seasonal risk in Summer.
PINN.TA ISTEDDOLI,1,12.33,12.33,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
N.GHE ALVU,1,0.82,0.82,0,LOW,High seasonal risk in Summer.
P.TA MELAS,1,0.41,0.41,0,LOW,High seasonal risk in Summer.
BADDE PIRA,1,1.72,1.72,17183.5,LOW,High seasonal risk in Summer.
SAN.RIO V.LA MANAI,1,1.09,1.09,0,LOW,High seasonal risk in Summer.
RIU COSTA DE CALARIGHES,1,28.14,28.14,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SA ZURA,1,3.18,3.18,0,LOW,High seasonal risk in Summer.
M. CANNAS,1,9.67,9.67,0,LOW,High seasonal risk in Summer.
BADDE ROSA,1,3.22,3.22,32235.1,LOW,High seasonal risk in Summer.
R. SU LOSTRU,1,0.60,0.60,0,LOW,High seasonal risk in Summer.
N.GHE S'EBBAIA,1,3.34,3.34,0,LOW,High seasonal risk in Summer.
FUNT.NA SA CONZA,1,0.84,0.84,0,LOW,High seasonal risk in Summer.
STRUVINA,1,70.16,70.16,701583,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
BALZI,1,2.69,2.69,0,LOW,High seasonal risk in Summer.
MONTIGIU CORONAS,1,1.91,1.91,19140,LOW,High seasonal risk in Summer.
CAMEDDA,1,297.65,297.65,0,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
LACCANA 'E PEDRU,1,15.06,15.06,142134,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
RIU CANNUZZU,1,22.63,22.63,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
FRADES ISTICAS,1,4.03,4.03,24793.5,LOW,High seasonal risk in Summer.
C.SE MARIANI,1,1.16,1.16,0,LOW,High seasonal risk in Summer.
C. S'ALIDERRU,1,22.24,22.24,214472,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
PINN.TA BOSTIFURRU,1,1.25,1.25,0,LOW,High seasonal risk in Summer.
MURA ZEDDA,1,217.21,217.21,1695641,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
M. ZEPPARA,1,5.08,5.08,0,LOW,High seasonal risk in Summer.
PASCIALE SIGHINIS,1,413.22,413.22,58330.5,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
MARRADA,1,0.91,0.91,3550.97,LOW,High seasonal risk in Summer.
P.TA BASCIA,1,0.37,0.37,0,LOW,High seasonal risk in Summer.
NODU ERIGHINA,1,0.53,0.53,0,LOW,High seasonal risk in Summer.
S'AIDU DE SA FROMMA,1,7.49,7.49,0,LOW,High seasonal risk in Summer.
MURA UPPULOS,1,25.66,25.66,256588.1,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SA MANDRA NOA,1,1.75,1.75,0,LOW,High seasonal risk in Summer.
SU PARIS DE SEA,1,17.02,17.02,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SU FURIGHESU,1,2.94,2.94,29395.21601374,LOW,High seasonal risk in Summer.
TUSCANU,1,2.55,2.55,5928.56,LOW,High seasonal risk in Summer.
M. MARZEDDU,1,5.16,5.16,10337.3,LOW,High seasonal risk in Summer.
MONTE OE,1,3.93,3.93,0,LOW,High seasonal risk in Summer.
PIRASTRU MELE,1,2.19,2.19,0,LOW,High seasonal risk in Summer.
S'ASPRU,1,2.09,2.09,20906.40806098,LOW,High seasonal risk in Summer.
BRIONIS,1,0.23,0.23,2278.42635931,LOW,High seasonal risk in Summer.
C. URGIAS,1,0.59,0.59,5944.56337076,LOW,High seasonal risk in Summer.
C. SINI,1,123.14,123.14,408201.29592448,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
MALTINAGHE,1,2.53,2.53,25340.53841185,LOW,High seasonal risk in Summer.
MALA MORRER,1,0.43,0.43,4278.77515727,LOW,High seasonal risk in Summer.
CANT.RA RUDAS,1,33.04,33.04,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
N.GHE PULPAZOS,1,6.26,6.26,0,LOW,High seasonal risk in Summer.
MATTERAGHENTU,1,2.26,2.26,22629.27911921,LOW,High seasonal risk in Summer.
SA SEGADA,1,0.44,0.44,0,LOW,High seasonal risk in Summer.
TANIELLE,1,37.59,37.59,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
N.GHE ISCALA REALES,1,0.68,0.68,0,LOW,High seasonal risk in Summer.
GIORZI PIRA,1,0.88,0.88,0,LOW,High seasonal risk in Summer.
FUNTNA CANIDANULL,1,2.19,2.19,21883,LOW,High seasonal risk in Summer.
MOLINEDDU,1,0.24,0.24,2381,LOW,High seasonal risk in Summer.
PAULU PIZZINNU,1,26.75,26.75,142195,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
C. SA ISOLZA,1,7.87,7.87,0,LOW,High seasonal risk in Summer.
C. DOMA,1,1.33,1.33,13258,LOW,High seasonal risk in Summer.
N.GHE NIEDDU,1,2.48,2.48,0,LOW,High seasonal risk in Summer.
CHENTU POLCOS,1,0.33,0.33,0,LOW,High seasonal risk in Summer.
PAULI ANNUAS,1,1.32,1.32,0,LOW,High seasonal risk in Summer.
SU QUADROXIU,1,3.06,3.06,30583.6,LOW,High seasonal risk in Summer.
TERRANOVA,1,4.76,4.76,47640.3,LOW,High seasonal risk in Summer.
NUSCAI,1,11.79,11.79,117944,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CALCINAXIUS,1,0.31,0.31,3066.81,LOW,High seasonal risk in Summer.
IS CUCCURUS,1,4.75,4.75,47535.3,LOW,High seasonal risk in Summer.
N.GHE FUNTANA GRECU,1,0.49,0.49,0,LOW,High seasonal risk in Summer.
N.GHE STAMPASIA,1,11.90,11.90,97127,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
FUNT.NA URALLA,1,0.40,0.40,3989.47,LOW,High seasonal risk in Summer.
R. SA GRUTTA,1,0.36,0.36,3563.91,LOW,High seasonal risk in Summer.
F.TE PIRAFERTA,1,0.40,0.40,4044.95,LOW,High seasonal risk in Summer.
OSP.LE SCALA,1,2.98,2.98,11123,LOW,High seasonal risk in Summer.
CHERCOS,1,0.65,0.65,704,LOW,High seasonal risk in Summer.
